Item UPC,Top 500,Image Count,ID,UPC,GS1 View,Image 1 Mime Type,Image 1 Date Added,Image 1 Source,Image 1 Description,Image 1 Path,Image 2 Mime Type,Image 2 Date Added,Image 2 Source,Image 2 Description,Image 2 Path,Image 3 Mime Type,Image 3 Date Added,Image 3 Source,Image 3 Description,Image 3 Path,Image 4 Mime Type,Image 4 Date Added,Image 4 Source,Image 4 Description,Image 4 Path,Image 5 Mime Type,Image 5 Date Added,Image 5 Source,Image 5 Description,Image 5 Path,Image 6 Mime Type,Image 6 Date Added,Image 6 Source,Image 6 Description,Image 6 Path,Image 7 Mime Type,Image 7 Date Added,Image 7 Source,Image 7 Description,Image 7 Path,Image 8 Mime Type,Image 8 Date Added,Image 8 Source,Image 8 Description,Image 8 Path,Image 9 Mime Type,Image 9 Date Added,Image 9 Source,Image 9 Description,Image 9 Path
043032022084,2,1,108204,00043032022084,A3C1,image/png,07/31/2013,ITEMMASTER,Planogram Top,http://media.itemmaster.com:80////0/0/0/365/a89f8ac8-19e3-4ba6-9a53-544355d77f30.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043032022084,2,1,108204,00043032022084,A7C1,image/png,07/31/2013,ITEMMASTER,Planogram Back,http://media.itemmaster.com:80////0/0/0/365/0f3b8383-17d7-4ceb-a0d2-bedd06a03bb6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043032022084,2,1,108204,00043032022084,A8C1,image/png,07/31/2013,ITEMMASTER,Planogram Right,http://media.itemmaster.com:80////0/0/0/365/b7027ece-c26b-4279-9080-5b428024d1ad.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043032022084,2,1,108204,00043032022084,A9C1,image/png,07/31/2013,ITEMMASTER,Planogram Bottom,http://media.itemmaster.com:80////0/0/0/365/33a731ca-f785-4ea0-9bc4-38ac927bcbc3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043032022084,2,9,108204,00043032022084,A1R1,image/tiff,07/31/2013,ITEMMASTER,Advertising Front Side Right Angle,http://media.itemmaster.com:80////0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.tif,image/jpeg,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (50x50) image/jpeg,http://media.itemmaster.com:80///0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.jpg?originalFormat=tif&size=50x50,image/png,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (50x50) image/png,http://media.itemmaster.com:80///0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.png?originalFormat=tif&size=50x50,image/jpeg,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (150x150) image/jpeg,http://media.itemmaster.com:80///0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.jpg?originalFormat=tif&size=150x150,image/png,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (150x150) image/png,http://media.itemmaster.com:80///0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.png?originalFormat=tif&size=150x150,image/jpeg,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (200x200) image/jpeg,http://media.itemmaster.com:80///0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.jpg?originalFormat=tif&size=200x200,image/png,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (200x200) image/png,http://media.itemmaster.com:80///0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.png?originalFormat=tif&size=200x200,image/jpeg,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (600x600) image/jpeg,http://media.itemmaster.com:80///0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.jpg?originalFormat=tif&size=600x600,image/png,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (600x600) image/png,http://media.itemmaster.com:80///0/0/0/365/96d0d969-e88a-45fe-a64d-e4a6bf8f4b96.png?originalFormat=tif&size=600x600
043032022084,2,9,108204,00043032022084,A1L1,image/tiff,07/31/2013,ITEMMASTER,Advertising Front Side Left Angle,http://media.itemmaster.com:80////0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.tif,image/jpeg,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (50x50) image/jpeg,http://media.itemmaster.com:80///0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.jpg?originalFormat=tif&size=50x50,image/png,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (50x50) image/png,http://media.itemmaster.com:80///0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.png?originalFormat=tif&size=50x50,image/jpeg,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (150x150) image/jpeg,http://media.itemmaster.com:80///0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.jpg?originalFormat=tif&size=150x150,image/png,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (150x150) image/png,http://media.itemmaster.com:80///0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.png?originalFormat=tif&size=150x150,image/jpeg,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (200x200) image/jpeg,http://media.itemmaster.com:80///0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.jpg?originalFormat=tif&size=200x200,image/png,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (200x200) image/png,http://media.itemmaster.com:80///0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.png?originalFormat=tif&size=200x200,image/jpeg,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (600x600) image/jpeg,http://media.itemmaster.com:80///0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.jpg?originalFormat=tif&size=600x600,image/png,07/31/2013,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (600x600) image/png,http://media.itemmaster.com:80///0/0/0/365/beb970b2-5860-48bc-82a5-05ef04a88eca.png?originalFormat=tif&size=600x600
072940756002,3,1,106724,00072940756002,A1C1,image/png,07/22/2013,ITEMMASTER,Planogram Front,http://media.itemmaster.com:80////0/0/0/299/ea4cf142-18ce-477d-8840-dfb5857684b2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072940756002,3,1,106724,00072940756002,A2C1,image/png,07/22/2013,ITEMMASTER,Planogram Left,http://media.itemmaster.com:80////0/0/0/299/9ce4fbbe-3d78-49fc-9e82-7719a14a9daa.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072940756002,3,1,106724,00072940756002,A3C1,image/png,07/22/2013,ITEMMASTER,Planogram Top,http://media.itemmaster.com:80////0/0/0/299/11b88d54-d7db-4a4d-9022-347adf4830aa.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072940756002,3,1,106724,00072940756002,A7C1,image/png,07/22/2013,ITEMMASTER,Planogram Back,http://media.itemmaster.com:80////0/0/0/299/529f9be9-37c0-457a-8d0c-f1fcaf86467a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
